"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"        Long-distance train or commuter rail","466,508","±11,977","146","±207","0","±170","210","±268","0","±208","38,207","±3,752","1,348","±659","21,254","±2,887","911","±535","969","±702","6,948","±1,898","1,486","±690","95","±99","207","±339","68,855","±5,055","2,342","±755","288","±273","0","±185","39","±65","479","±549","479","±422","9,351","±2,540","30,909","±3,279","181","±180","441","±331","187","±235","580","±469","46","±67","0","±174","337","±397","372","±247","73,102","±5,243","970","±733","157,299","±7,314","120","±87","92","±151","186","±225","98","±113","483","±265","27,473","±3,013","2,253","±920","62","±109","0","±172","546","±399","1,706","±672","2,933","±816","56","±99","7,317","±2,010","4,448","±1,244","190","±203","507","±367","0","±207","344","±414"
"        Light rail, streetcar or trolley (carro público in Puerto Rico)","129,309","±7,459","56","±86","11","±20","1,544","±635","0","±208","20,601","±2,447","13,748","±2,532","1,204","±719","273","±286","804","±797","2,923","±1,235","2,285","±881","65","±109","0","±195","3,564","±1,005","149","±181","31","±58","571","±658","0","±204","411","±265","37","±63","1,216","±559","4,143","±1,285","153","±183","5,574","±1,489","0","±217","1,252","±576","0","±182","0","±174","0","±228","0","±198","18,955","±3,516","178","±204","4,910","±1,448","3,073","±1,302","0","±170","205","±184","0","±165","5,529","±1,316","10,413","±2,016","0","±242","176","±180","0","±172","102","±171","8,084","±2,047","3,311","±1,161","77","±128","896","±399","12,511","±2,412","0","±203","274","±275","0","±207","2,471","±968"
"        Ferryboat","62,925","±4,713","32","±37","79","±74","600","±398","0","±208","9,362","±1,719","609","±491","830","±585","0","±203","41","±68","762","±466","158","±197","26","±42","592","±558","664","±471","691","±678","199","±190","68","±114","192","±231","303","±303","501","±372","566","±334","3,123","±1,042","986","±562","294","±216","273","±418","348","±166","0","±182","348","±279","472","±454","111","±180","10,240","±1,874","63","±105","17,229","±3,208","285","±214","92","±151","350","±349","624","±558","265","±213","845","±430","0","±242","239","±242","161","±177","317","±378","1,338","±670","221","±273","0","±168","890","±574","7,116","±1,397","62","±110","358","±231","0","±207","0","±244"
"    Bicycle","731,272","±18,199","1,604","±747","1,350","±515","17,079","±2,572","1,631","±574","136,876","±6,657","31,000","±3,422","2,967","±932","1,909","±756","11,309","±1,930","49,325","±4,302","8,071","±1,701","6,020","±1,443","6,764","±1,238","35,090","±3,640","13,872","±2,594","6,366","±1,392","4,162","±1,106","2,595","±790","5,534","±1,242","3,225","±1,033","8,715","±1,597","29,083","±3,300","17,077","±4,247","14,200","±1,902","901","±479","5,338","±1,300","5,274","±1,208","2,835","±984","4,899","±1,111","1,878","±777","14,105","±2,816","4,475","±1,336","79,624","±6,702","8,095","±2,023","1,155","±713","16,511","±2,370","3,626","±753","25,888","±3,332","32,427","±3,756","2,313","±914","5,812","±1,310","1,011","±478","4,203","±1,509","29,364","±4,306","8,776","±1,457","2,359","±890","13,497","±2,099","23,423","±2,965","441","±305","14,531","±2,068","2,687","±885","1,510","±671"
"    Walked","3,855,075","±38,096","26,209","±3,079","26,154","±2,215","58,569","±4,161","20,409","±2,639","448,772","±13,627","79,090","±5,729","50,203","±4,633","10,288","±1,947","36,145","±3,157","142,008","±7,946","68,705","±5,775","31,693","±3,057","26,678","±3,051","162,911","±8,484","63,784","±4,542","47,233","±3,513","32,621","±2,731","38,087","±2,742","43,279","±3,934","25,664","±2,671","57,611","±4,495","146,009","±7,195","95,485","±6,156","75,885","±5,170","18,592","±2,526","48,379","±3,816","24,035","±2,156","23,030","±2,381","21,338","±2,767","15,757","±2,014","139,038","±8,244","20,326","±2,409","525,752","±12,121","84,065","±6,110","14,012","±1,982","110,293","±6,912","31,850","±2,980","74,028","±6,256","200,978","±8,288","15,953","±2,323","38,297","±4,053","11,668","±1,582","40,125","±3,713","215,857","±9,405","31,687","±2,900","14,183","±2,092","93,673","±5,410","120,519","±6,322","17,171","±2,434","81,015","±5,266","9,962","±1,565","28,432","±3,000"
"    Taxicab, motorcycle, or other means","2,470,087","±38,284","25,829","±3,252","18,526","±1,910","63,100","±6,056","15,766","±2,332","312,075","±9,940","33,883","±3,618","23,564","±3,050","5,525","±1,168","10,074","±2,189","193,611","±9,666","85,524","±7,021","17,594","±3,270","12,816","±2,251","87,161","±5,992","36,253","±4,052","14,377","±2,075","18,646","±2,322","25,086","±3,503","31,839","±4,037","9,655","±1,810","53,972","±5,449","68,357","±5,540","56,952","±4,149","35,887","±3,050","14,573","±2,422","32,473","±3,725","7,285","±1,808","10,348","±2,026","39,969","±4,173","8,412","±1,601","101,171","±5,904","12,375","±2,288","193,911","±10,298","61,555","±4,866","3,462","±945","65,880","±6,418","21,765","±1,972","28,412","±3,405","91,621","±6,889","9,438","±2,382","36,583","±4,242","5,359","±1,323","46,552","±4,606","249,084","±12,737","17,528","±2,397","2,788","±1,077","67,070","±5,074","41,857","±3,841","9,261","±1,772","32,149","±3,296","3,134","±976","19,937","±2,619"
"    Worked from home","24,381,732","±104,716","200,280","±8,924","34,007","±2,711","651,679","±14,883","115,794","±6,088","3,200,937","±30,211","660,865","±13,693","290,301","±8,207","74,053","±5,135","126,259","±6,489","1,700,894","±29,166","851,917","±19,362","66,420","±4,163","119,833","±5,850","979,781","±16,967","344,857","±9,115","178,965","±6,195","175,573","±7,595","212,882","±7,980","165,357","±7,294","107,131","±6,244","603,184","±15,409","670,281","±16,011","642,736","±13,992","507,903","±10,615","69,054","±4,697","381,408","±10,659","69,493","±4,983","110,093","±5,214","183,437","±8,382","127,465","±6,252","769,532","±16,856","112,376","±5,704","1,359,559","±21,606","863,191","±20,028","31,248","±2,921","737,375","±14,370","172,481","±5,298","389,714","±11,516","957,261","±14,383","73,836","±5,111","280,181","±11,699","45,490","±3,630","448,447","±11,878","2,097,324","±29,861","308,258","±8,762","55,874","±3,289","790,559","±15,446","786,120","±15,306","66,215","±4,319","387,700","±9,252","26,152","±3,267","66,291","±4,955"
"    Male:","85,362,714","±92,818","1,186,510","±11,086","203,610","±3,894","1,848,596","±13,429","705,365","±8,102","10,148,644","±31,987","1,696,480","±9,253","951,951","±9,608","254,638","±5,212","180,338","±4,575","5,494,870","±25,291","2,720,169","±16,284","376,794","±5,210","496,819","±7,046","3,265,041","±18,126","1,749,450","±11,493","864,381","±6,448","781,116","±6,635","1,074,493","±10,030","1,036,809","±11,127","348,585","±4,840","1,619,141","±11,343","1,866,030","±12,338","2,491,959","±13,547","1,556,836","±9,706","643,882","±9,284","1,536,749","±11,517","292,827","±4,714","545,430","±4,774","817,473","±9,321","389,577","±6,136","2,455,017","±14,422","495,364","±7,713","4,854,124","±21,300","2,698,256","±14,163","222,249","±4,504","2,972,975","±15,933","988,022","±7,323","1,084,113","±11,331","3,293,882","±16,810","283,803","±5,178","1,275,213","±12,007","246,017","±3,668","1,781,094","±11,937","7,905,544","±29,258","959,053","±6,848","172,399","±3,720","2,302,248","±13,430","2,109,952","±15,066","382,446","±6,775","1,581,341","±11,305","155,039","±4,088","591,508","±9,370"
"        Car, truck, or van:","67,032,487","±100,833","1,057,915","±13,035","154,052","±4,154","1,434,249","±14,523","627,730","±9,226","7,800,869","±33,233","1,247,817","±13,719","738,766","±10,540","206,659","±6,126","59,200","±4,492","4,376,783","±32,232","2,200,987","±21,774","301,820","±5,843","408,197","±7,787","2,458,133","±20,813","1,509,082","±11,128","735,770","±8,302","658,244","±7,772","935,138","±10,440","909,302","±10,096","277,576","±5,504","1,213,101","±13,308","1,299,004","±16,047","2,060,448","±17,232","1,219,275","±11,311","591,082","±9,913","1,300,388","±11,419","233,201","±4,643","469,111","±5,810","668,864","±10,095","308,186","±7,043","1,724,469","±17,091","420,200","±7,515","2,817,189","±24,559","2,186,335","±14,834","197,152","±4,709","2,489,302","±16,828","868,777","±7,488","798,995","±12,648","2,560,493","±16,842","230,497","±5,553","1,090,926","±12,091","210,778","±4,166","1,510,370","±14,500","6,501,900","±32,577","752,786","±9,167","135,781","±4,045","1,770,643","±15,951","1,526,249","±17,729","336,384","±7,400","1,311,761","±12,365","130,551","±3,838","524,959","±9,321"
"            Drove alone","59,935,390","±113,236","967,146","±13,352","131,909","±4,145","1,261,086","±15,271","573,400","±9,701","6,847,355","±30,662","1,125,392","±13,749","666,387","±10,494","187,573","±5,734","53,817","±4,366","3,908,867","±31,584","1,955,782","±22,239","252,336","±6,239","366,675","±7,810","2,209,772","±21,349","1,346,788","±12,409","668,785","±8,171","597,571","±7,989","837,570","±11,416","824,993","±10,996","250,459","±5,914","1,085,997","±14,491","1,165,179","±14,887","1,878,480","±17,337","1,104,696","±11,004","529,816","±10,517","1,188,394","±11,734","205,338","±4,974","427,375","±5,619","586,161","±10,429","279,244","±7,438","1,526,060","±16,791","375,002","±8,146","2,509,606","±23,446","1,957,145","±17,274","178,657","±4,862","2,266,567","±17,812","781,286","±8,185","709,919","±12,339","2,318,971","±17,599","208,971","±5,494","987,221","±13,307","196,325","±4,324","1,362,286","±15,041","5,727,329","±36,534","659,516","±9,633","123,157","±4,224","1,594,677","±16,996","1,350,359","±17,206","305,146","±7,522","1,195,630","±13,194","117,217","±4,102","490,611","±8,959"
