"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"            Carpooled:","7,097,097","±54,195","90,769","±6,007","22,143","±2,326","173,163","±7,475","54,330","±4,013","953,514","±18,427","122,425","±6,966","72,379","±5,749","19,086","±2,884","5,383","±1,581","467,916","±13,255","245,205","±9,389","49,484","±4,275","41,522","±4,284","248,361","±8,472","162,294","±8,050","66,985","±4,415","60,673","±4,462","97,568","±5,788","84,309","±5,725","27,117","±2,647","127,104","±7,876","133,825","±6,233","181,968","±7,556","114,579","±5,907","61,266","±5,084","111,994","±5,993","27,863","±2,825","41,736","±3,017","82,703","±7,037","28,942","±3,712","198,409","±8,299","45,198","±5,462","307,583","±11,853","229,190","±9,548","18,495","±2,140","222,735","±9,014","87,491","±5,195","89,076","±5,899","241,522","±8,580","21,526","±2,810","103,705","±5,201","14,453","±1,639","148,084","±6,945","774,571","±18,348","93,270","±5,443","12,624","±1,938","175,966","±7,607","175,890","±8,879","31,238","±2,733","116,131","±4,441","13,334","±1,711","34,348","±3,236"
"                In 2-person carpool","5,211,353","±45,327","70,172","±5,142","16,749","±1,777","130,227","±6,866","43,594","±3,430","668,659","±15,430","91,138","±5,783","52,573","±4,669","13,688","±2,639","4,746","±1,541","335,417","±10,525","168,397","±8,054","34,670","±3,162","28,700","±3,352","185,227","±7,519","123,097","±7,123","47,204","±3,443","44,891","±3,908","75,637","±5,353","63,905","±5,335","23,047","±2,597","92,936","±6,571","104,373","±5,737","141,438","±6,969","86,239","±5,293","45,250","±4,027","90,210","±5,075","19,746","±2,489","29,486","±2,608","54,865","±4,654","22,062","±2,889","135,462","±5,952","33,010","±5,005","218,639","±10,312","167,764","±8,514","12,331","±1,634","168,436","±7,783","67,265","±4,346","68,871","±5,118","187,763","±7,830","16,505","±2,315","78,475","±4,733","11,024","±1,307","113,334","±5,942","563,384","±16,633","69,026","±4,669","10,451","±1,877","128,001","±5,900","130,138","±5,820","25,221","±2,513","88,893","±4,481","9,017","±1,287","27,161","±2,668"
"                In 3-person carpool","1,091,018","±23,243","11,435","±2,154","2,737","±858","26,787","±3,356","6,313","±1,372","164,490","±8,563","19,262","±3,187","11,844","±2,853","3,013","±1,274","190","±154","75,179","±6,090","44,774","±4,763","7,153","±1,197","7,638","±1,434","39,794","±4,366","21,757","±2,732","9,618","±1,343","9,436","±1,631","13,988","±2,559","12,000","±2,321","1,952","±689","19,009","±3,103","16,192","±2,461","22,038","±2,952","17,771","±2,578","9,890","±2,247","12,310","±2,036","4,056","±1,185","7,988","±1,790","17,206","±3,415","4,199","±1,316","35,703","±4,332","7,845","±1,712","49,085","±4,520","36,875","±4,369","3,865","±1,125","28,130","±3,469","12,390","±1,574","11,935","±2,160","29,415","±3,418","3,175","±1,147","13,030","±2,633","2,186","±700","24,227","±3,283","128,603","±8,895","12,127","±2,194","1,347","±738","27,540","±3,602","20,846","±3,448","2,593","±835","17,466","±2,784","2,616","±832","4,285","±1,384"
"                In 4-or-more-person carpool","794,726","±17,776","9,162","±1,992","2,657","±852","16,149","±3,341","4,423","±1,212","120,365","±8,397","12,025","±2,044","7,962","±1,961","2,385","±986","447","±349","57,320","±5,656","32,034","±3,789","7,661","±1,713","5,184","±1,433","23,340","±3,215","17,440","±2,583","10,163","±2,686","6,346","±1,412","7,943","±1,538","8,404","±1,792","2,118","±709","15,159","±2,768","13,260","±2,601","18,492","±2,611","10,569","±1,636","6,126","±1,388","9,474","±1,950","4,061","±1,050","4,262","±1,003","10,632","±2,449","2,681","±1,198","27,244","±3,318","4,343","±1,354","39,859","±4,460","24,551","±3,674","2,299","±877","26,169","±3,584","7,836","±1,492","8,270","±2,160","24,344","±2,984","1,846","±907","12,200","±2,823","1,243","±563","10,523","±2,102","82,584","±6,085","12,117","±2,262","826","±517","20,425","±2,913","24,906","±3,517","3,424","±1,278","9,772","±1,496","1,701","±709","2,902","±1,220"
"        Public transportation (excluding taxicab):","2,512,964","±30,011","3,505","±1,130","3,642","±1,127","15,842","±2,752","1,233","±352","252,614","±8,768","27,206","±3,150","30,727","±3,506","3,919","±1,074","32,042","±3,160","62,957","±5,843","30,299","±3,524","10,959","±1,826","3,192","±961","176,503","±8,875","11,645","±2,367","7,019","±1,703","3,158","±1,159","5,054","±1,387","7,510","±1,770","2,133","±826","57,442","±4,867","103,422","±5,723","17,826","±2,694","26,451","±2,967","1,928","±843","13,614","±2,547","1,760","±631","2,388","±1,421","22,094","±3,416","718","±444","199,865","±8,262","3,356","±983","981,514","±17,727","11,507","±2,201","865","±679","29,053","±3,116","3,274","±876","23,450","±3,201","98,792","±8,143","3,395","±1,262","4,679","±1,316","1,816","±824","6,604","±1,761","66,858","±6,363","12,638","±2,106","537","±278","43,345","±3,962","63,743","±4,847","2,509","±868","15,044","±2,280","1,318","±610","4,494","±1,224"
"            Bus","1,145,301","±22,906","2,959","±1,072","3,563","±1,148","13,836","±2,731","1,233","±352","169,767","±6,908","16,751","±2,712","11,846","±2,430","2,598","±910","8,271","±1,604","50,015","±5,081","22,332","±3,154","10,898","±1,830","2,776","±759","75,699","±5,738","9,828","±2,223","6,535","±1,555","2,540","±964","4,868","±1,386","6,112","±1,595","1,280","±616","27,442","±3,555","32,906","±3,319","17,158","±2,650","23,075","±2,764","1,607","±659","11,307","±2,505","1,714","±622","2,163","±1,408","21,506","±3,470","563","±404","96,316","±5,864","2,774","±820","193,905","±9,614","9,281","±2,177","610","±591","27,911","±3,012","2,709","±716","19,713","±3,196","62,276","±6,420","2,627","±1,163","4,152","±1,284","1,312","±631","6,027","±1,626","57,202","±6,277","7,893","±1,552","470","±258","21,493","±2,937","47,402","±4,691","2,413","±853","14,349","±2,228","1,318","±610","2,403","±888"
"            Subway or elevated rail","989,759","±17,534","428","±477","0","±170","415","±357","0","±208","44,547","±3,892","1,560","±802","3,391","±1,322","390","±229","22,686","±2,880","6,270","±1,410","6,156","±1,497","0","±187","180","±296","58,309","±5,751","110","±135","0","±170","194","±208","30","±49","445","±531","59","±104","23,147","±3,102","51,568","±4,227","80","±93","353","±403","0","±217","804","±455","0","±182","0","±174","49","±81","0","±198","42,508","±3,981","0","±216","685,030","±15,241","334","±255","71","±169","822","±480","0","±165","870","±657","16,512","±2,723","0","±242","55","±94","343","±420","0","±225","2,054","±1,052","407","±235","11","±21","15,988","±2,450","3,520","±1,085","0","±203","63","±78","0","±207","470","±328"
"            Long-distance train or commuter rail","270,163","±9,997","56","±96","0","±170","67","±114","0","±208","21,337","±2,613","681","±483","14,389","±2,311","658","±442","923","±695","4,417","±1,745","562","±380","26","±43","0","±195","39,871","±3,493","1,153","±527","272","±271","0","±185","39","±65","479","±549","396","±412","5,677","±2,051","15,226","±2,183","155","±173","313","±319","48","±59","342","±344","46","±67","0","±174","118","±193","155","±179","43,154","±3,752","582","±470","91,440","±5,139","23","±37","92","±151","10","±23","98","±113","148","±153","14,822","±2,221","768","±489","62","±109","0","±172","300","±317","1,155","±529","2,118","±641","56","±99","4,853","±1,468","2,805","±964","96","±114","175","±189","0","±207","318","±412"
"            Light rail, streetcar or trolley (carro público in Puerto Rico)","69,723","±5,336","30","±56","0","±170","1,121","±619","0","±208","11,636","±1,837","7,653","±1,787","531","±332","273","±286","121","±145","1,934","±1,064","1,249","±771","35","±58","0","±195","2,354","±682","101","±158","31","±58","424","±631","0","±204","206","±190","37","±63","685","±478","1,810","±803","153","±183","2,440","±922","0","±217","873","±557","0","±182","0","±174","0","±228","0","±198","10,733","±2,596","0","±216","2,060","±874","1,653","±867","0","±170","117","±113","0","±165","2,454","±963","4,606","±1,115","0","±242","171","±180","0","±172","102","±171","5,565","±1,814","2,139","±849","0","±168","486","±331","5,738","±1,524","0","±203","202","±245","0","±207","1,303","±711"
"            Ferryboat","38,018","±3,962","32","±37","79","±74","403","±310","0","±208","5,327","±1,316","561","±488","570","±424","0","±203","41","±68","321","±190","0","±228","0","±187","236","±364","270","±301","453","±470","181","±182","0","±185","117","±184","268","±303","361","±353","491","±301","1,912","±767","280","±223","270","±218","273","±418","288","±148","0","±182","225","±249","421","±451","0","±198","7,154","±1,474","0","±216","9,079","±2,331","216","±194","92","±151","193","±281","467","±469","265","±213","576","±341","0","±242","239","±242","161","±177","175","±207","882","±517","81","±140","0","±168","525","±455","4,278","±1,029","0","±203","255","±202","0","±207","0","±244"
"        Bicycle","521,205","±15,191","887","±574","955","±352","11,806","±2,170","1,309","±504","97,685","±5,445","19,807","±2,434","2,470","±872","1,433","±556","8,569","±1,655","36,043","±4,070","5,739","±1,388","4,733","±1,406","4,637","±960","26,062","±2,924","11,485","±2,282","4,850","±1,286","2,678","±899","2,198","±738","4,043","±1,170","2,250","±700","6,032","±1,269","20,897","±2,637","11,331","±3,031","9,702","±1,708","262","±255","3,531","±997","3,217","±790","2,265","±778","3,037","±940","1,021","±476","11,067","±2,851","3,500","±1,152","58,475","±5,758","5,623","±1,760","802","±512","11,227","±1,799","2,524","±611","17,338","±2,933","20,649","±2,845","1,600","±710","4,766","±1,238","920","±469","3,068","±1,276","21,401","±3,501","6,564","±1,261","1,421","±754","9,991","±1,867","16,898","±2,649","274","±199","10,431","±1,600","1,732","±674","1,250","±613"
"        Walked","2,046,473","±26,919","15,421","±2,418","17,024","±1,912","31,686","±2,721","11,107","±1,642","230,855","±9,722","44,752","±3,767","25,834","±3,004","5,502","±1,510","17,060","±1,993","78,797","±5,564","40,227","±4,452","17,177","±2,099","13,071","±2,054","86,236","±5,911","33,149","±3,143","26,164","±2,744","19,806","±1,987","23,146","±2,120","23,495","±3,281","13,009","±1,869","32,263","±3,819","71,212","±5,037","50,899","±4,160","39,855","±3,862","10,908","±1,914","27,040","±2,614","14,869","±2,018","12,843","±1,894","11,266","±1,752","7,449","±1,314","71,820","±6,418","12,804","±1,823","254,553","±8,419","48,672","±4,742","7,136","±1,560","58,259","±4,687","18,845","±2,288","40,624","±4,547","99,575","±4,830","8,663","±1,715","23,857","±3,194","7,308","±1,342","23,582","±3,283","116,125","±6,817","15,637","±2,096","7,392","±1,501","52,924","±3,876","68,587","±5,019","9,267","±1,719","43,047","±3,539","5,674","±1,118","16,882","±2,715"
"        Taxicab, motorcycle, or other means","1,405,728","±24,509","16,420","±2,343","12,570","±1,633","36,323","±4,486","8,195","±1,569","176,789","±7,893","22,423","±3,051","10,774","±1,890","3,038","±882","5,434","±1,519","111,278","±6,350","48,437","±5,210","11,191","±2,258","8,412","±1,850","47,051","±4,329","21,940","±3,211","7,576","±1,244","10,831","±1,923","14,357","±2,353","19,360","±3,039","5,766","±1,314","26,815","±3,476","35,851","±3,875","32,381","±2,931","19,609","±2,102","8,950","±1,719","18,857","±2,542","5,322","±1,309","6,321","±1,501","24,678","±2,928","4,688","±917","52,068","±4,432","7,533","±1,685","97,148","±6,387","33,206","±2,999","2,270","±762","37,341","±4,706","12,797","±1,431","17,034","±2,442","50,551","±4,362","4,385","±1,343","21,189","±3,099","3,157","±757","27,381","±3,323","153,445","±9,544","11,443","±1,881","1,572","±717","38,151","±2,976","26,473","±3,376","6,076","±1,314","18,887","±2,128","1,984","±821","10,241","±1,937"
"        Worked from home","11,843,857","±67,254","92,362","±5,301","15,367","±1,963","318,690","±11,262","55,791","±3,982","1,589,832","±21,659","334,475","±8,645","143,380","±6,101","34,087","±3,919","58,033","±4,199","829,012","±19,062","394,480","±12,207","30,914","±2,906","59,310","±3,529","471,056","±10,998","162,149","±5,462","83,002","±4,735","86,399","±5,382","94,600","±5,707","73,099","±4,922","47,851","±3,537","283,488","±9,432","335,644","±10,162","319,074","±10,992","241,944","±7,900","30,752","±3,139","173,319","±6,318","34,458","±2,947","52,502","±3,293","87,534","±5,559","67,515","±4,498","395,728","±11,934","47,971","±3,784","645,245","±14,234","412,913","±11,784","14,024","±1,700","347,793","±8,937","81,805","±3,696","186,672","±6,851","463,822","±9,953","35,263","±3,273","129,796","±7,236","22,038","±2,521","210,089","±7,574","1,045,815","±20,720","159,985","±6,129","25,696","±2,251","387,194","±10,629","408,002","±10,813","27,936","±2,889","182,171","±5,974","13,780","±2,146","33,682","±3,458"
"    Female:","75,215,022","±100,807","1,073,223","±12,459","156,018","±4,434","1,554,331","±15,030","614,503","±8,897","8,463,820","±34,364","1,425,523","±12,299","875,591","±10,521","237,132","±5,499","193,605","±4,183","4,880,848","±25,529","2,494,674","±18,550","322,097","±5,099","414,740","±6,190","2,926,725","±16,892","1,538,841","±13,833","766,604","±7,516","671,037","±9,110","960,206","±9,793","982,478","±11,470","334,003","±5,778","1,524,042","±13,890","1,771,061","±13,461","2,214,109","±16,021","1,403,066","±10,704","606,889","±9,383","1,418,592","±12,192","258,936","±4,612","470,411","±5,663","688,820","±10,111","348,224","±5,790","2,159,682","±14,844","442,429","±7,169","4,545,766","±22,207","2,432,517","±18,377","187,587","±4,003","2,687,487","±19,203","841,189","±7,959","970,987","±10,220","2,990,047","±15,320","266,621","±5,642","1,173,090","±11,166","213,722","±3,813","1,581,404","±14,934","6,542,251","±37,464","756,412","±8,112","165,329","±3,688","2,047,847","±16,254","1,733,637","±12,680","344,417","±6,897","1,410,297","±9,797","132,155","±3,517","537,286","±9,695"
"        Car, truck, or van:","57,093,948","±101,787","941,219","±12,333","121,096","±4,446","1,149,862","±15,406","534,877","±8,750","6,218,217","±37,722","1,018,312","±12,884","661,646","±10,516","186,279","±5,985","61,153","±4,453","3,789,235","±27,267","1,944,500","±17,171","250,710","±5,307","331,372","±5,972","2,122,776","±18,585","1,299,063","±14,077","635,820","±8,673","555,997","±9,353","811,559","±9,299","848,579","±11,301","255,920","±6,602","1,082,379","±14,853","1,198,663","±14,898","1,794,043","±14,769","1,058,527","±11,205","552,984","±9,810","1,163,199","±11,994","209,749","±5,223","396,280","±6,328","554,113","±10,042","273,988","±6,691","1,498,012","±14,509","361,576","±7,773","2,405,735","±21,239","1,902,029","±19,714","161,603","±4,489","2,185,037","±19,765","725,524","±8,076","695,029","±9,942","2,230,517","±17,042","210,747","±5,980","987,238","±12,102","183,157","±3,923","1,299,424","±14,330","5,232,259","±37,520","573,018","±8,076","124,602","±3,937","1,533,870","±14,780","1,224,510","±15,274","293,086","±7,683","1,132,915","±11,635","111,943","±3,883","479,201","±8,780"
"            Drove alone","50,309,978","±102,361","852,938","±12,816","99,107","±4,642","988,532","±15,102","479,834","±9,211","5,340,131","±36,760","894,494","±12,350","593,922","±9,943","170,284","±5,726","52,498","±4,058","3,324,423","±25,517","1,722,048","±17,816","195,526","±5,877","293,035","±6,726","1,880,215","±18,081","1,144,010","±15,147","572,074","±8,860","496,042","±9,649","708,174","±9,386","760,750","±10,854","227,393","±6,362","960,835","±15,263","1,073,192","±15,090","1,606,243","±14,877","945,655","±11,186","494,335","±9,958","1,040,806","±12,420","177,466","±5,813","349,372","±6,654","467,586","±8,853","244,974","±6,297","1,314,122","±14,724","312,336","±8,402","2,099,676","±20,292","1,696,608","±19,406","144,153","±4,396","1,967,918","±21,076","641,701","±8,286","607,904","±11,487","2,003,032","±18,581","189,784","±5,907","882,547","±11,644","164,786","±4,339","1,158,120","±14,771","4,555,692","±37,602","495,903","±8,522","112,678","±3,849","1,360,362","±14,884","1,065,416","±16,075","264,147","±7,342","1,015,513","±11,082","101,686","±3,919","443,268","±8,338"
"            Carpooled:","6,783,970","±50,894","88,281","±4,858","21,989","±2,729","161,330","±8,469","55,043","±4,427","878,086","±17,300","123,818","±6,873","67,724","±5,142","15,995","±2,277","8,655","±1,647","464,812","±13,209","222,452","±9,213","55,184","±3,961","38,337","±2,885","242,561","±9,312","155,053","±7,636","63,746","±4,057","59,955","±4,998","103,385","±5,668","87,829","±5,946","28,527","±2,678","121,544","±6,503","125,471","±7,121","187,800","±6,760","112,872","±6,123","58,649","±4,170","122,393","±6,367","32,283","±2,598","46,908","±3,663","86,527","±6,024","29,014","±3,200","183,890","±8,402","49,240","±5,351","306,059","±9,245","205,421","±8,732","17,450","±2,185","217,119","±7,863","83,823","±3,726","87,125","±5,764","227,485","±10,207","20,963","±3,227","104,691","±6,839","18,371","±2,048","141,304","±7,136","676,567","±18,372","77,115","±5,396","11,924","±1,648","173,508","±7,770","159,094","±6,548","28,939","±2,572","117,402","±5,421","10,257","±1,761","35,933","±3,551"
"                In 2-person carpool","5,029,074","±43,412","67,152","±4,673","16,756","±2,248","117,789","±7,219","41,373","±3,750","626,902","±14,648","89,405","±6,135","50,686","±4,154","10,672","±1,845","6,455","±1,397","356,491","±12,270","162,357","±7,745","38,441","±3,214","27,369","±2,594","176,660","±7,986","112,852","±6,752","46,991","±3,409","41,964","±3,978","82,090","±5,641","62,033","±4,897","23,351","±2,399","95,483","±5,844","95,659","±6,147","140,792","±5,737","80,756","±4,577","41,961","±3,589","92,383","±5,069","21,725","±2,141","30,332","±2,744","64,738","±5,389","21,369","±2,706","138,664","±8,099","35,287","±4,566","236,630","±9,526","155,068","±7,947","12,072","±1,706","168,569","±7,439","61,868","±3,106","65,750","±4,901","179,876","±8,797","14,429","±2,531","75,688","±5,518","11,505","±1,573","107,112","±5,886","489,211","±14,629","54,400","±4,627","9,078","±1,478","131,147","±6,428","122,577","±6,532","23,030","±2,106","87,527","±4,874","6,599","±1,282","28,225","±3,200"
"                In 3-person carpool","1,082,576","±20,364","13,470","±2,073","3,018","±880","26,365","±3,186","7,071","±1,462","145,479","±7,717","21,123","±2,425","11,129","±2,027","3,579","±1,482","1,084","±620","70,735","±5,852","39,860","±4,623","9,528","±1,438","6,322","±1,242","37,687","±4,333","25,262","±2,800","10,152","±1,770","11,338","±2,101","14,093","±1,920","17,734","±3,006","3,106","±846","17,756","±2,928","15,759","±2,435","30,080","±3,738","18,176","±2,282","11,480","±2,088","20,332","±2,412","5,821","±1,266","10,654","±1,851","14,539","±2,474","4,484","±1,730","27,053","±3,334","9,897","±2,065","37,090","±3,599","34,317","±3,025","3,275","±751","29,408","±2,887","13,898","±1,981","15,060","±2,229","28,527","±2,937","3,863","±1,464","18,809","±3,062","4,158","±1,045","24,096","±3,530","115,536","±7,966","13,485","±2,035","1,463","±613","25,889","±2,557","24,097","±2,724","4,146","±1,262","18,791","±2,432","2,502","±848","5,172","±1,345"
"                In 4-or-more-person carpool","672,320","±17,645","7,659","±1,477","2,215","±948","17,176","±2,850","6,599","±1,514","105,705","±7,887","13,290","±2,589","5,909","±1,612","1,744","±830","1,116","±582","37,586","±3,790","20,235","±3,000","7,215","±1,960","4,646","±1,052","28,214","±3,507","16,939","±2,285","6,603","±1,515","6,653","±1,500","7,202","±1,401","8,062","±1,617","2,070","±687","8,305","±1,600","14,053","±2,602","16,928","±2,299","13,940","±2,541","5,208","±1,360","9,678","±1,597","4,737","±1,196","5,922","±1,237","7,250","±1,631","3,161","±1,103","18,173","±2,429","4,056","±946","32,339","±3,605","16,036","±2,475","2,103","±950","19,142","±2,519","8,057","±1,363","6,315","±1,709","19,082","±2,426","2,671","±1,396","10,194","±2,212","2,708","±861","10,096","±2,082","71,820","±6,272","9,230","±1,812","1,383","±738","16,472","±2,407","12,420","±1,877","1,763","±690","11,084","±1,755","1,156","±499","2,536","±788"
"        Public transportation (excluding taxicab):","2,500,171","±28,539","3,172","±1,213","801","±474","12,547","±2,018","2,428","±988","242,104","±8,410","23,830","±3,745","29,368","±3,728","3,138","±1,142","37,761","±3,773","60,905","±5,884","24,840","±3,639","13,675","±1,842","2,707","±811","169,411","±8,408","9,735","±1,756","5,435","±1,215","3,752","±1,174","4,298","±1,367","7,887","±1,728","1,284","±674","66,779","±5,190","122,272","±6,132","21,501","±3,192","21,774","±2,794","1,657","±721","10,542","±2,006","966","±660","1,756","±749","11,579","±2,293","1,397","±565","168,507","±8,384","3,109","±1,139","1,036,606","±14,063","13,996","±2,373","339","±307","27,011","±3,570","1,914","±561","19,584","±2,551","111,840","±7,959","4,245","±1,197","4,587","±1,221","460","±326","6,773","±1,740","55,149","±5,146","10,774","±2,503","1,604","±841","37,438","±3,524","57,168","±4,729","1,796","±752","16,523","±2,559","1,447","±674","3,970","±1,207"
"            Bus","1,256,447","±20,923","3,008","±1,208","790","±473","11,120","±1,897","2,428","±988","171,397","±7,893","16,342","±2,926","18,385","±3,271","2,765","±1,063","16,827","±2,795","52,136","±5,748","17,525","±2,966","13,550","±1,841","2,054","±656","85,849","±6,702","8,029","±1,675","5,379","±1,202","3,456","±1,142","4,200","±1,332","7,470","±1,716","1,061","±621","38,675","±4,024","43,628","±4,008","20,718","±3,188","17,845","±2,698","1,518","±676","9,536","±1,871","966","±660","1,616","±732","11,260","±2,280","1,023","±523","91,385","±6,069","2,480","±1,014","287,487","±10,339","12,212","±2,319","339","±307","26,058","±3,627","1,717","±512","15,068","±2,273","71,629","±5,674","2,760","±916","4,582","±1,221","460","±326","6,103","±1,653","50,521","±5,098","8,019","±2,234","1,027","±427","21,053","±3,003","43,927","±4,158","1,640","±743","16,016","±2,560","1,408","±664","2,139","±842"
"            Subway or elevated rail","962,886","±18,641","48","±84","0","±170","664","±600","0","±208","40,837","±3,601","678","±439","3,185","±1,845","120","±152","20,205","±2,387","4,808","±1,491","5,197","±1,704","0","±187","90","±150","52,974","±3,950","231","±176","22","±39","81","±117","23","±41","177","±272","0","±179","23,824","±3,605","59,417","±4,521","51","±86","643","±481","0","±217","329","±256","0","±182","17","±23","49","±82","46","±78","35,866","±3,290","0","±216","672,260","±14,494","198","±194","0","±170","532","±403","40","±66","1,106","±904","21,484","±3,550","0","±242","0","±222","0","±172","282","±367","1,102","±475","628","±354","500","±637","13,146","±1,807","1,987","±831","0","±203","0","±159","39","±68","637","±454"
"            Long-distance train or commuter rail","196,345","±7,461","90","±150","0","±170","143","±246","0","±208","16,870","±2,571","667","±416","6,865","±1,247","253","±239","46","±77","2,531","±957","924","±572","69","±112","207","±339","28,984","±3,044","1,189","±451","16","±31","0","±185","0","±204","0","±220","83","±134","3,674","±1,119","15,683","±2,496","26","±48","128","±129","139","±234","238","±287","0","±182","0","±174","219","±344","217","±183","29,948","±3,143","388","±383","65,859","±4,420","97","±82","0","±170","176","±221","0","±165","335","±276","12,651","±2,176","1,485","±882","0","±222","0","±172","246","±240","551","±355","815","±409","0","±168","2,464","±946","1,643","±695","94","±161","332","±265","0","±207","26","±43"
"            Light rail, streetcar or trolley (carro público in Puerto Rico)","59,586","±4,809","26","±46","11","±20","423","±272","0","±208","8,965","±1,543","6,095","±1,910","673","±515","0","±203","683","±842","989","±631","1,036","±574","30","±50","0","±195","1,210","±771","48","±81","0","±170","147","±240","0","±204","205","±175","0","±179","531","±362","2,333","±931","0","±184","3,134","±1,151","0","±217","379","±231","0","±182","0","±174","0","±228","0","±198","8,222","±2,002","178","±204","2,850","±1,005","1,420","±713","0","±170","88","±140","0","±165","3,075","±844","5,807","±1,585","0","±242","5","±10","0","±172","0","±225","2,519","±875","1,172","±603","77","±128","410","±270","6,773","±1,687","0","±203","72","±118","0","±207","1,168","±741"
"            Ferryboat","24,907","±2,852","0","±208","0","±170","197","±247","0","±208","4,035","±1,071","48","±77","260","±406","0","±203","0","±238","441","±428","158","±197","26","±42","356","±421","394","±334","238","±253","18","±30","68","±114","75","±124","35","±58","140","±89","75","±94","1,211","±603","706","±409","24","±30","0","±217","60","±74","0","±182","123","±132","51","±81","111","±180","3,086","±928","63","±105","8,150","±2,107","69","±88","0","±170","157","±200","157","±190","0","±214","269","±272","0","±242","0","±222","0","±172","142","±189","456","±392","140","±227","0","±168","365","±318","2,838","±931","62","±110","103","±118","0","±207","0","±244"
"        Bicycle","210,067","±8,669","717","±549","395","±303","5,273","±1,528","322","±258","39,191","±3,212","11,193","±2,139","497","±367","476","±350","2,740","±738","13,282","±1,955","2,332","±810","1,287","±530","2,127","±720","9,028","±1,688","2,387","±780","1,516","±666","1,484","±685","397","±254","1,491","±515","975","±615","2,683","±779","8,186","±1,597","5,746","±2,800","4,498","±973","639","±396","1,807","±706","2,057","±745","570","±414","1,862","±770","857","±616","3,038","±1,118","975","±486","21,149","±2,774","2,472","±975","353","±286","5,284","±1,713","1,102","±367","8,550","±1,487","11,778","±1,907","713","±600","1,046","±449","91","±108","1,135","±536","7,963","±1,857","2,212","±843","938","±470","3,506","±1,089","6,525","±1,366","167","±268","4,100","±1,048","955","±497","260","±266"
"        Walked","1,808,602","±24,187","10,788","±1,922","9,130","±1,595","26,883","±3,050","9,302","±1,884","217,917","±8,340","34,338","±3,822","24,369","±3,217","4,786","±1,267","19,085","±2,388","63,211","±5,178","28,478","±3,190","14,516","±1,973","13,607","±1,938","76,675","±5,768","30,635","±3,164","21,069","±2,016","12,815","±1,827","14,941","±1,699","19,784","±2,408","12,655","±1,858","25,348","±2,513","74,797","±4,531","44,586","±3,728","36,030","±3,255","7,684","±1,706","21,339","±2,507","9,166","±1,338","10,187","±1,230","10,072","±1,913","8,308","±1,393","67,218","±4,387","7,522","±1,343","271,199","±8,756","35,393","±3,271","6,876","±1,338","52,034","±4,215","13,005","±1,723","33,404","±3,373","101,403","±5,282","7,290","±1,672","14,440","±2,324","4,360","±1,004","16,543","±2,101","99,732","±7,030","16,050","±2,003","6,791","±1,260","40,749","±3,445","51,932","±4,104","7,904","±1,595","37,968","±3,328","4,288","±845","11,550","±1,817"
